feat_0,feat_1,score,generalization_score
27,4.546784063337942,0.8795566502463055,0.7777777777777778
95,0.02653050299604,0.9435960591133006,0.9166666666666666
39,0.0005917433219460001,0.8731527093596059,0.9166666666666666
73,0.000397880553092,0.8731527093596059,0.9166666666666666
54,0.145776880681752,0.8938423645320197,0.9722222222222222
100,0.6952,0.9507389162561577,0.9444444444444444
83,0.9876,0.9152709359605911,1.0
77,0.9987,0.8940886699507388,0.8611111111111112
99,0.985,0.9224137931034482,1.0
75,0.7856,0.9719211822660098,0.9722222222222222
58,0.7812,0.97192118226601,0.9444444444444444
90,0.9999,0.9009852216748768,0.8611111111111112
60,0.9831,0.9578817733990148,1.0
74,0.9812,0.97192118226601,1.0
96,0.9817,0.9578817733990148,1.0
87,0.9818,0.9435960591133006,1.0
83,0.9813,0.9295566502463055,1.0
69,0.9816,0.9435960591133006,1.0
80,0.9823,0.9509852216748769,1.0
75,0.9813,0.9295566502463055,1.0
78,0.9814,0.9578817733990148,1.0
76,0.9819,0.9507389162561577,1.0
93,0.9817,0.9507389162561577,1.0
74,0.9811,0.9790640394088671,1.0
91,0.981,0.9435960591133006,1.0
74,0.981,0.9578817733990148,1.0
77,0.9896,0.9364532019704432,1.0
72,0.9814,0.9578817733990148,1.0
91,0.9811,0.97192118226601,1.0
78,0.9815,0.9721674876847292,1.0
