C,gamma,tol,score,generalization_score
44.30375245218264,0.000519026301769,0.002576638574613,0.9916473093302361,0.9916666666666667
43.11710058685489,0.000265249637675,0.003833332156156,0.9909552845528455,0.9916666666666667
20.547625125911335,0.000779422611516,0.071556821617548,0.9909528648857917,0.9916666666666667
14.135935551752295,0.000619049016677,0.001304907355036,0.9909504452187379,0.9916666666666667
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.9909528648857917,0.9916666666666667
467.0,0.0004,0.04043,0.9916473093302361,0.9916666666666667
429.0,0.0002,0.03765,0.9909552845528455,0.9888888888888889
690.0,0.0009,0.0419,0.9909528648857917,0.9916666666666667
115.0,0.0007,0.0341,0.9916473093302361,0.9916666666666667
350.0,0.0007,0.025,0.9916473093302361,0.9916666666666667
280.6,0.0006,0.03853,0.9909504452187379,0.9916666666666667
78.721,0.0007,0.00263,0.9916473093302361,0.9916666666666667
196.0,0.0007,0.00847,0.9916473093302361,0.9916666666666667
152.0,0.0009,0.02501,0.9909528648857917,0.9916666666666667
328.0,0.0009,0.04,0.9909528648857917,0.9916666666666667
278.0,0.0007,0.02123,0.9916473093302361,0.9916666666666667
145.0,0.0008,0.00892,0.9909528648857917,0.9916666666666667
275.0,0.0008,0.00585,0.9909528648857917,0.9916666666666667
360.0,0.0007,0.03631,0.9916473093302361,0.9916666666666667
152.0,0.0007,0.03853,0.9916473093302361,0.9916666666666667
541.0,0.0006,0.03512,0.9909504452187379,0.9916666666666667
273.0,0.0007,0.04459,0.9916473093302361,0.9916666666666667
382.0,0.0008,0.03562,0.9909528648857917,0.9916666666666667
185.0,0.0007,0.02847,0.9916473093302361,0.9916666666666667
141.0,0.0007,0.04163,0.9916473093302361,0.9916666666666667
250.0,0.0005,0.05,0.9916473093302361,0.9916666666666667
203.0,0.0008,0.03099,0.9909528648857917,0.9916666666666667
165.0,0.0007,0.03852,0.9916473093302361,0.9916666666666667
458.0,0.0006,0.00547,0.9909504452187379,0.9916666666666667
218.0,0.0007,0.02099,0.9916473093302361,0.9916666666666667
